x_,y_,t_,id,sex
4610816.674894077,2625022.7185014826,2020-02-19T07:20:25Z,8,f
4610855.3212461835,2625008.5689558582,2020-02-19T07:20:38Z,20,m
4610888.211929006,2624837.9929846455,2020-02-19T10:40:39Z,8,f
4610869.835492073,2624991.4904531636,2020-02-19T10:40:44Z,20,m
4610874.826276617,2624980.7141344887,2020-02-19T14:00:33Z,20,m
4610881.157960874,2624852.05814418,2020-02-19T14:00:38Z,8,f
4610827.34039248,2625211.6406609863,2020-02-19T17:20:38Z,8,f
4610788.401647353,2625172.3168597445,2020-02-19T17:20:42Z,20,m
4610824.244214642,2625160.1454131757,2020-02-19T20:40:22Z,8,f
4610825.004103274,2625137.2733971085,2020-02-19T20:40:35Z,20,m
4610857.711384817,2625151.6713787676,2020-02-20T00:00:13Z,20,m
4610829.943445428,2625152.7994171726,2020-02-20T00:00:39Z,8,f
4610832.3196139885,2625169.891690773,2020-02-20T03:20:11Z,8,f
4610877.758981467,2625172.211557545,2020-02-20T03:20:12Z,20,m
4610814.767707058,2625012.438575447,2020-02-20T06:40:38Z,20,m
4610806.339050417,2625036.6162198666,2020-02-20T06:41:08Z,8,f
4610962.81182411,2625038.241285582,2020-02-20T10:00:24Z,8,f
4610866.344894902,2624992.58506425,2020-02-20T10:01:08Z,20,m
4610877.754438976,2624988.076293107,2020-02-20T13:20:22Z,20,m
4610972.616728252,2625033.650752832,2020-02-20T13:20:37Z,8,f
4610840.8210197585,2625139.777945729,2020-02-20T16:40:25Z,8,f
4610863.8860668205,2625000.9450112693,2020-02-20T16:41:02Z,20,m
4610828.975273069,2625179.90354577,2020-02-20T20:00:29Z,20,m
4610831.9543858785,2625152.0535265477,2020-02-20T20:00:38Z,8,f
4610836.90370745,2625154.0032879403,2020-02-20T23:20:28Z,20,m
4610643.079287835,2625137.323351976,2020-02-20T23:20:38Z,8,f
4610793.501714522,2625030.0211303313,2020-02-21T02:40:36Z,8,f
4610836.226984142,2625172.2125353212,2020-02-21T02:40:38Z,20,m
4610820.009650142,2625035.192670969,2020-02-21T06:00:16Z,8,f
4610824.263789498,2625121.1131871985,2020-02-21T06:00:18Z,20,m
4610969.865886347,2625030.1160622467,2020-02-21T09:20:38Z,8,f
4610862.760619481,2624997.069086797,2020-02-21T09:22:08Z,20,m
4610876.274677537,2624982.485179814,2020-02-21T12:40:29Z,20,m
4610976.096973579,2625040.1926206667,2020-02-21T12:40:40Z,8,f
4610871.680596115,2625020.8595654685,2020-02-21T16:00:38Z,20,m
4610765.863594394,2624919.996471835,2020-02-21T16:00:39Z,8,f
4610837.2898338055,2625174.3881663713,2020-02-21T19:20:20Z,8,f
4610840.009305191,2625174.1027244814,2020-02-21T19:20:37Z,20,m
4610827.609940022,2625167.52989205,2020-02-21T22:40:21Z,20,m
4610834.4448693525,2625159.3933284543,2020-02-21T22:40:38Z,8,f
4610834.590652523,2625156.43085083,2020-02-22T02:00:38Z,8,f
4610832.694573708,2625165.2438153457,2020-02-22T02:00:38Z,20,m
4610852.190151046,2625192.544113242,2020-02-22T05:20:17Z,20,m
4610797.481433199,2625014.526133635,2020-02-22T05:20:29Z,8,f
4610871.467263717,2624849.8662949353,2020-02-22T08:40:36Z,8,f
4610884.471305695,2624844.1661084113,2020-02-22T08:40:38Z,20,m
4610892.151202924,2624856.013609939,2020-02-22T12:00:38Z,8,f
4610868.612129688,2624848.4477094575,2020-02-22T12:00:38Z,20,m
4610907.4587871265,2624879.2817121446,2020-02-22T15:20:38Z,8,f
4610876.677137296,2624845.040996261,2020-02-22T15:20:38Z,20,m
4610860.232963339,2625153.921488825,2020-02-22T18:40:28Z,20,m
4610822.014564257,2625163.8500611954,2020-02-22T18:40:39Z,8,f
4610797.316479404,2625059.4907392925,2020-02-22T22:00:38Z,20,m
4610806.484814622,2625033.653743276,2020-02-22T22:00:39Z,8,f
4610797.368248727,2625051.0079043903,2020-02-23T01:20:18Z,8,f
4610848.792866626,2625172.4297734257,2020-02-23T01:20:21Z,20,m
4610813.368757955,2625235.5353428796,2020-02-23T04:40:27Z,8,f
4610799.473207024,2625055.782360174,2020-02-23T04:40:38Z,20,m
4610761.888734691,2625039.4387498423,2020-02-23T08:00:36Z,2,f
4610878.427795426,2624848.1002916023,2020-02-23T08:00:38Z,8,f
4611290.188054434,2625061.758846349,2020-02-23T08:00:38Z,20,m
4611429.441536774,2625145.6746230847,2020-02-23T11:20:21Z,20,m
4610884.836092706,2624847.1546490993,2020-02-23T11:20:32Z,8,f
4610778.195430296,2625036.45254384,2020-02-23T11:21:05Z,2,f
4611427.3908305485,2625117.5674555595,2020-02-23T14:40:38Z,20,m
4610481.58188546,2625077.3253748785,2020-02-23T14:41:06Z,2,f
4610920.00510587,2624909.6215255638,2020-02-23T14:41:08Z,8,f
4610818.336356084,2625159.8438284816,2020-02-23T18:00:38Z,8,f
4610843.11394551,2625161.5329918843,2020-02-23T18:00:38Z,20,m
4610183.759585145,2624657.393703264,2020-02-23T18:00:44Z,2,f
4609736.767122561,2624063.1572209187,2020-02-23T21:20:37Z,2,f
4610830.162715083,2625167.660209871,2020-02-23T21:20:38Z,20,m
4610834.632033922,2625146.6746554347,2020-02-23T21:21:31Z,8,f
4610824.348814558,2625172.87898036,2020-02-24T00:40:30Z,20,m
4609330.905761192,2624155.390050677,2020-02-24T00:40:37Z,2,f
4610836.087889913,2625054.681488787,2020-02-24T00:40:38Z,8,f
4610855.2427043505,2625179.547451337,2020-02-24T04:00:11Z,20,m
4609899.484725842,2624771.4761433713,2020-02-24T04:00:11Z,2,f
4610837.8835192425,2625166.7815369335,2020-02-24T04:00:25Z,8,f
4609927.898754475,2624763.1637685965,2020-02-24T07:20:15Z,2,f
4610807.265637194,2625016.2983724508,2020-02-24T07:20:21Z,8,f
4610790.573717613,2625028.59885946,2020-02-24T07:20:39Z,20,m
4609938.2648559315,2624753.084535425,2020-02-24T10:40:13Z,2,f
4610840.869556732,2625024.377863857,2020-02-24T10:40:30Z,20,m
4610975.10710854,2625040.9906134484,2020-02-24T10:40:37Z,8,f
4611450.470758901,2625110.6868842077,2020-02-24T14:00:15Z,8,f
4609976.208446231,2624774.107682841,2020-02-24T14:00:15Z,2,f
4610859.436643177,2624994.778016581,2020-02-24T14:00:50Z,20,m
4610050.882141303,2624854.2773305015,2020-02-24T17:20:12Z,2,f
4610835.465980785,2625159.4454566604,2020-02-24T17:20:15Z,8,f
4610824.129627239,2625160.98811212,2020-02-24T17:21:02Z,20,m
4610232.319826798,2624891.0946979825,2020-02-24T20:40:27Z,2,f
4610841.332444395,2625169.503255194,2020-02-24T20:40:36Z,20,m
4610849.188337298,2625155.478989444,2020-02-24T20:40:37Z,8,f
4610167.863451593,2624899.2668719264,2020-02-25T00:00:16Z,2,f
4610814.251810376,2625156.6654046606,2020-02-25T00:00:22Z,20,m
4610832.985591629,2625141.499313564,2020-02-25T00:00:37Z,8,f
4610804.208636944,2625191.3674990255,2020-02-25T03:20:27Z,8,f
4610176.86494985,2624961.668884756,2020-02-25T03:20:29Z,2,f
4610826.515706516,2625161.5341927963,2020-02-25T03:20:32Z,20,m
4610795.033768504,2625039.0090793306,2020-02-25T06:40:38Z,8,f
4610791.845198516,2625035.4521382446,2020-02-25T06:40:38Z,20,m
4610164.155014673,2624906.2906054873,2020-02-25T06:41:06Z,2,f
4610979.399968872,2625033.9972002115,2020-02-25T10:00:26Z,8,f
4610185.980885472,2624880.2488947175,2020-02-25T10:00:37Z,2,f
4610974.158914763,2625040.942185539,2020-02-25T10:00:38Z,20,m
4610952.910589999,2624868.0259088576,2020-02-25T13:20:29Z,20,m
4610916.117681425,2624874.2082837345,2020-02-25T13:20:38Z,8,f
4610195.458467952,2624921.0373665225,2020-02-25T13:20:38Z,2,f
4610837.956717716,2625175.695034501,2020-02-25T16:40:27Z,8,f
4610893.5748140635,2625127.1974600684,2020-02-25T16:40:38Z,20,m
4610411.030083484,2624971.4789769845,2020-02-25T16:40:56Z,2,f
4610797.662156481,2625107.4513385007,2020-02-25T20:00:25Z,2,f
4610821.805830525,2625153.2325502094,2020-02-25T20:00:38Z,8,f
4610835.267818074,2625153.071226275,2020-02-25T20:00:38Z,20,m
4610828.244796602,2625144.227217776,2020-02-25T23:20:22Z,8,f
4610806.529842565,2625124.874944026,2020-02-25T23:20:25Z,20,m
4610821.711289558,2625129.892644236,2020-02-25T23:20:25Z,2,f
4610824.597864638,2625141.071126933,2020-02-26T02:40:24Z,8,f
4610844.374180853,2625143.3535344983,2020-02-26T02:40:27Z,2,f
4610841.833053189,2625186.0755118495,2020-02-26T02:40:38Z,20,m
4610871.045220515,2625029.31260823,2020-02-26T06:00:18Z,2,f
4610908.347818116,2625029.0958618172,2020-02-26T06:00:39Z,20,m
4610890.301097127,2625039.205517468,2020-02-26T06:01:08Z,8,f
4610975.596730454,2625029.5602068594,2020-02-26T09:20:26Z,20,m
4610978.253385684,2624988.965538948,2020-02-26T09:20:38Z,8,f
4610983.484308757,2625010.44643146,2020-02-26T09:20:38Z,2,f
4611486.98126282,2625108.7363293488,2020-02-26T12:40:23Z,20,m
4611408.593564022,2625122.121519456,2020-02-26T12:40:39Z,8,f
4611420.107062944,2625124.4075666745,2020-02-26T12:40:56Z,2,f
4610853.149546665,2625223.5651306435,2020-02-26T16:00:27Z,2,f
4610921.270389017,2625152.795328688,2020-02-26T16:00:37Z,8,f
4610957.748971559,2625141.081454317,2020-02-26T16:00:37Z,20,m
4610854.5856439285,2625155.754540312,2020-02-26T19:20:12Z,8,f
4610850.887354967,2625178.9008195684,2020-02-26T19:20:37Z,20,m
4610834.623350891,2625204.7997934595,2020-02-26T19:20:39Z,2,f
4610852.106043288,2625164.537709024,2020-02-26T22:40:36Z,8,f
4610839.456837593,2625166.013308078,2020-02-26T22:40:38Z,20,m
4610830.850244898,2625162.6040168125,2020-02-26T22:40:38Z,2,f
4610853.596053899,2625165.4623282664,2020-02-27T02:00:10Z,20,m
4610832.694843955,2625174.1535893036,2020-02-27T02:00:37Z,2,f
4610628.190060203,2625141.230783362,2020-02-27T02:00:38Z,8,f
4610837.086939033,2625016.5478309244,2020-02-27T05:20:13Z,8,f
4610865.275512524,2625134.6623166483,2020-02-27T05:20:25Z,2,f
4610826.6823114045,2625158.1485038633,2020-02-27T05:20:38Z,20,m
4610991.47617819,2624998.126385574,2020-02-27T08:40:38Z,8,f
4610896.300248037,2624929.2005609525,2020-02-27T08:40:38Z,20,m
4610905.657109947,2624920.344291484,2020-02-27T08:40:43Z,2,f
4611457.480616133,2625144.987649327,2020-02-27T12:00:25Z,8,f
4610930.037539488,2624814.2479033694,2020-02-27T12:00:27Z,20,m
4610892.880765675,2624861.990692769,2020-02-27T12:00:35Z,2,f
4610862.119542607,2625179.4742728258,2020-02-27T15:20:32Z,8,f
4610848.651251402,2624965.8010478616,2020-02-27T15:20:32Z,2,f
4610860.477366976,2624952.8280288917,2020-02-27T15:21:26Z,20,m
4610836.122320439,2625156.509043241,2020-02-27T18:40:15Z,2,f
4610854.627538364,2625163.8178920737,2020-02-27T18:40:33Z,8,f
4610835.528992492,2625175.995371165,2020-02-27T18:40:38Z,20,m
4610856.31584301,2625177.0565932333,2020-02-27T22:00:10Z,20,m
4610836.808587908,2625109.8739131684,2020-02-27T22:00:10Z,2,f
